,Year,Month,Rate,Rate_Change,Percent_Rate_Change,Year_Month
66,2015,07,3.98,-0.04,-0.0099502487562188,2015-07
67,2015,06,4.02,0.15,0.03875968992248,2015-06
68,2015,05,3.87,0.19,0.051630434782609,2015-05
69,2015,04,3.68,-0.01,-0.0027100271002709,2015-04
70,2015,03,3.69,-0.11,-0.028947368421052996,2015-03
71,2015,02,3.8,0.14,0.038251366120218,2015-02
72,2015,01,3.66,-0.21,-0.05426356589147299,2015-01
73,2014,12,3.87,-0.1,-0.025188916876573996,2014-12
74,2014,11,3.97,-0.01,-0.0025125628140703,2014-11
75,2014,10,3.98,-0.22,-0.05238095238095201,2014-10
76,2014,09,4.2,0.1,0.024390243902439,2014-09
77,2014,08,4.1,-0.02,-0.004854368932039001,2014-08
78,2014,07,4.12,-0.02,-0.004830917874396,2014-07
79,2014,06,4.14,0.02,0.0048543689320387,2014-06
80,2014,05,4.12,-0.21,-0.048498845265589,2014-05
81,2014,04,4.33,-0.07,-0.015909090909091,2014-04
82,2014,03,4.4,0.03,0.0068649885583525,2014-03
83,2014,02,4.37,0.05,0.011574074074073999,2014-02
84,2014,01,4.32,-0.16,-0.035714285714286004,2014-01
85,2013,12,4.48,0.19,0.044289044289044004,2013-12
86,2013,11,4.29,0.19,0.046341463414634,2013-11
87,2013,10,4.1,-0.22,-0.050925925925926,2013-10
88,2013,09,4.32,-0.19,-0.042128603104213,2013-09
89,2013,08,4.51,0.2,0.046403712296984,2013-08
90,2013,07,4.31,-0.15,-0.03363228699551601,2013-07
91,2013,06,4.46,0.65,0.17060367454067998,2013-06
92,2013,05,3.81,0.41,0.12058823529412,2013-05
93,2013,04,3.4,-0.17,-0.04761904761904799,2013-04
94,2013,03,3.57,0.06,0.017094017094017,2013-03
95,2013,02,3.51,-0.02,-0.0056657223796034,2013-02
96,2013,01,3.53,0.18,0.053731343283582006,2013-01
97,2012,12,3.35,0.03,0.0090361445783133,2012-12
98,2012,11,3.32,-0.09,-0.026392961876832998,2012-11
99,2012,10,3.41,0.01,0.0029411764705883,2012-10
100,2012,09,3.4,-0.19,-0.052924791086350995,2012-09
101,2012,08,3.59,0.1,0.02865329512894,2012-08
102,2012,07,3.49,-0.17,-0.046448087431694,2012-07
103,2012,06,3.66,-0.09,-0.024,2012-06
104,2012,05,3.75,-0.13,-0.033505154639175,2012-05
105,2012,04,3.88,-0.11,-0.027568922305764,2012-04
106,2012,03,3.99,0.04,0.010126582278480999,2012-03
107,2012,02,3.95,-0.03,-0.0075376884422109994,2012-02
108,2012,01,3.98,0.03,0.0075949367088607,2012-01
109,2011,12,3.95,-0.03,-0.0075376884422109994,2011-12
110,2011,11,3.98,-0.12,-0.029268292682927004,2011-11
111,2011,10,4.1,0.09,0.022443890274314,2011-10
112,2011,09,4.01,-0.21,-0.049763033175355,2011-09
113,2011,08,4.22,-0.33,-0.072527472527472,2011-08
114,2011,07,4.55,0.04,0.0088691796008869,2011-07
115,2011,06,4.51,-0.09,-0.019565217391304002,2011-06
116,2011,05,4.6,-0.18,-0.03765690376569,2011-05
117,2011,04,4.78,-0.08,-0.016460905349793997,2011-04
118,2011,03,4.86,-0.09,-0.018181818181818,2011-03
119,2011,02,4.95,0.15,0.03125,2011-02
120,2011,01,4.8,-0.06,-0.012345679012346,2011-01
121,2010,12,4.86,0.46,0.10454545454545,2010-12
122,2010,11,4.4,0.17,0.040189125295508,2010-11
123,2010,10,4.23,-0.09,-0.020833333333333,2010-10
124,2010,09,4.32,-0.04,-0.0091743119266055,2010-09
125,2010,08,4.36,-0.18,-0.039647577092511,2010-08
126,2010,07,4.54,-0.15,-0.031982942430704,2010-07
127,2010,06,4.69,-0.09,-0.018828451882845,2010-06
128,2010,05,4.78,-0.28,-0.055335968379445995,2010-05
129,2010,04,5.06,0.07,0.014028056112223998,2010-04
130,2010,03,4.99,-0.06,-0.011881188118812,2010-03
131,2010,02,5.05,0.07,0.014056224899598,2010-02
132,2010,01,4.98,-0.16,-0.031128404669261003,2010-01
