state_id,county,fips_code,policy_level,date,policy_type,start_stop,comments,source,total_phases
ND,Benson,38005,county,2020-09-03,Non-Essential Businesses,start,"Policy_Details: Personal Services (i.e. Salon, Tattoo)
- Personal care services may consider opening.
- Operate under strict hygiene protocols.
- No food and beverage should be served.
- Masks and social distancing required.
Retail
- Employers exercise extreme caution, with employees working remotely when possible. 
- On-site work pre-screen and monitor employees for symptoms. 
- Masks and social distancing required.

   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
NY,,,state,2020-03-16,Entertainment,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open",BU COVID-19 State Policy Database,
MT,,,state,2020-03-20,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
ND,Benson,38005,county,2020-09-03,Childcare (K-12),start,"Policy_Details: - Enhanced cleaning and distancing protocols. 
- No symptomatic employees or children. 
- Congregate areas are closed. 
- Stagger arrival and drop off times. 
- Protocols for classroom/learning space occupancy that allow for separation among students and staff throughout the day to the maximum extent feasible
- Masks annd social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
TX,Edwards,48137,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
ND,Pembina,38067,county,2020-09-03,Food and Drink,start,"Policy_Details: - Operate under heightened hygiene and cleaning standards.
- Resume to normal capacity and operations.
- Monitor employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
AK,,,state,2020-03-17,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
DE,,,state,2020-03-19,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
AL,,,state,2020-04-04,Shelter in Place,start,State Policy Start,wikidata,
CA,Ventura County,06111,county,2020-03-17,Shelter in Place,start,Ventura County Policy Start,wikidata,
ND,Williams,38105,county,2020-09-03,Outdoor and Recreation,start,"Policy_Details: - Fitness centers, gyms and indoor/outdoor sporting events may consider opening.
- Pre-screen and monitor employees for symptoms.
- Gatherings in facilities can be up to 50% certificate of occupancy for that room but no more than 250 people.
- Masks and social distancing required.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
NE,Gage,31067,county,2020-04-03,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
KS,Leavenworth County,20103,county,2020-03-24,Shelter in Place,start,Leavenworth County Policy Start,wikidata,
TX,Lipscomb,48295,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
KS,,,state,2020-06-22,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MD,,,state,2020-04-18,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
PA,Lancaster,42071,county,2020-06-26,Phase 2,start,"Policy_Details: Lancaster County is moving into the green phase on June 26 Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-26/,
MO,Lincoln County,29113,county,2020-03-29,Shelter in Place,start,Lincoln County Policy Start,wikidata,
OH,Athens,39009,county,2020-07-23,Public Health Advisory System,start,"Policy_Details: counties continuing at Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions 
   Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,
DE,,,state,2020-04-28,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Huntingdon,42061,county,2020-06-19,Phase 2,start,"Policy_Details: Huntingdon County enters the green phase on June 19  Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/",sip_submission_form: https://www.governor.pa.gov/newsroom/gov-wolf-eight-more-counties-going-green-on-june-19/,
ME,Hancock,23009,county,2020-05-18,Food and Drink,start,"Policy_Details: Rural Reopening : restaurants open for indoor & outdoor dining Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",sip_submission_form: https://www.maine.gov/covid19/restartingmaine,3
MD,,,state,2020-04-18,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
OR,,,state,2020-03-24,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
LA,,,state,2020-03-23,Shelter in Place,start,"Louisiana Gov. John Bel Edwards issued a statewide stay at home order at a Sunday afternoon press conference, requiring Louisiana residents to shelter at home unless going out for essential tasks effective until April 12. ",manual,
GA,,,state,2020-04-20,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
LA,,,state,2020-03-11,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
DC,,,state,2020-03-16,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
TX,Hidalgo County,48215,county,2020-03-26,Shelter in Place,start,Hidalgo County Policy Start,wikidata,
IA,Polk,19153,county,2020-08-27,Food and Drink,start,"Policy_Details: All bars, taverns, wineries, breweries, distilleries, night clubs to close.   Source information: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.08.27.pdf?utm_medium=email&utm_source=govdelivery",sip_submission_form: https://governor.iowa.gov/sites/default/files/documents/Public%20Health%20Proclamation%20-%202020.08.27.pdf?utm_medium=email&utm_source=govdelivery,
UT,,,state,2020-03-25,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
CT,,,state,2020-04-03,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
HI,,,state,2020-03-17,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MI,Luce,26095,county,2020-07-31,Entertainment,start,"Policy_Details: Region 8 indoor cinemas, convention centers, performance spaces, meeting halls, sports arenas, and theaters open at 25% capacity or 250 people (whichever is smaller); outdoor concert spaces, race tracks, sports arenas, and stadiums open at 25% capacity or 500 people (whichever is smaller)    Source information: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html","sip_submission_form: https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-535195--,00.html",
VT,,,state,2020-03-25,Entertainment,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
TX,Rockwall County,48397,county,2020-03-24,Shelter in Place,start,Rockwall County Policy Start,wikidata,
TX,Caldwell County,48055,county,2020-03-31,Shelter in Place,start,Caldwell County Policy Start,wikidata,
DE,,,state,2020-03-13,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
TX,,,state,2020-03-31,Entertainment,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
VT,,,state,2020-03-20,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
AK,Haines Borough,02100,county,2020-03-25,Shelter in Place,start,Haines Borough Policy Start,wikidata,
CA,Los Angeles County,06037,county,2020-03-21,Shelter in Place,start,Los Angeles County Policy Start,wikidata,
OH,Montgomery,39113,county,2020-07-23,Public Health Advisory System,start,"Policy_Details: counties continuing at Red Alert Level 3 must limit gatherings of any number, consider necessary travel only, and decrease in-person interactions 
   Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20",sip_submission_form: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-23-20,
NE,Clay,31035,county,2020-03-31,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
TX,Trinity County,48455,county,2020-03-31,Shelter in Place,start,Trinity County Policy Start,wikidata,
WI,Dane,55025,county,2020-07-13,Mask Requirement,start,"Policy_Details: Individuals 5 and over must wear masks in Dane County when: in an enclosed space where individuals who do not share a living space are present; in line to enter an indoor space; using public transportation or hired transportation. Face coverings can be removed when eating or drinking; communicating with those hard of hearing; confirming identity; where state or federal law prohibits face coverings; and when obtaining services that necessitate removal of face covering. Individuals with with a disability, health, or mental condition, as well as individuals for whom a face covering would create a working hazard are exempt.   Source information: https://publichealthmdc.com/documents/2020-07-07_Order_8.pdf",sip_submission_form: https://publichealthmdc.com/documents/2020-07-07_Order_8.pdf,4
ND,Billings,38007,county,2020-09-03,Food and Drink,start,"Policy_Details: - Operate under heightened hygiene and cleaning standards.
- Resume to normal capacity and operations.
- Monitor employees for symptoms.   Source information: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf",sip_submission_form: https://ndresponse.gov/sites/www/files/documents/covid-19/ND%20Smart%20Restart/Additional%20Resources/NDSmartRestartPlan.pdf,5
ME,Somerset,23025,county,2020-05-11,Non-Essential Businesses,start,"Policy_Details: Rural Reopening : all retail businesses open  Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",sip_submission_form: https://www.maine.gov/covid19/restartingmaine,3
MS,Lauderdale County,28075,county,2020-03-31,Shelter in Place,start,Lauderdale County Policy Start,wikidata,
FL,Miami-Dade,12086,county,2020-07-09,Food and Drink,start,"Policy_Details:  Amendment No. 2 to Miami Dade County Emergency Order 26-20 by County Mayor Carlos A. Giménez signed 7/7 - all food service establishments with seating for more than eight people only allowed to offer outdoor (no indoor) dining. 
Outdoor service limited to hours of 6am-10pm. 
Table size limited to 4 people per table and music at low level or off.    Source information: https://www.miamidade.gov/information/library/07.07.20-amendment-2-to-26-20.pdf",sip_submission_form: https://www.miamidade.gov/information/library/07.07.20-amendment-2-to-26-20.pdf,
MS,Washington,28151,county,2020-07-13,Food and Drink,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Retail Businesses should also in addition provide employees with face coverings (when they have contact with public, and these to be cleaned/replaced daily), customers must wear face coverings, hand sanitizer must be provided, 6 ft separation must be kept whenever possible, and sanitation of carts/baskets and high touch areas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
WA,,,state,2020-03-23,Shelter in Place,start,"Stay at home, effective March 23 until April 6. On April 2, extended through May 4",manual,
NE,Jefferson,31095,county,2020-04-03,Shelter in Place,start,http://dhhs.ne.gov/Pages/COVID-19-Directed-Health-Measures.aspx,manual,
TX,San Augustine County,48405,county,2020-03-30,Shelter in Place,start,San Augustine County Policy Start,wikidata,
TX,Irion,48235,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
VA,,,state,2020-03-23,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
WA,,,state,2020-03-19,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
MS,Grenada,28043,county,2020-07-13,Outdoor and Recreation,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
ME,,,state,2020-03-25,Non-Essential Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
TX,,,state,2020-03-26,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
TX,Harris County,48201,county,2020-03-24,Shelter in Place,start,Harris County Policy Start,wikidata,
TX,Runnels,48399,county,2020-07-03,Mask Requirement,start,"Policy_Details: County is approved to be exempt from the requirements of Governor Greg Abbot's Executive Order GA-29 signed on July 2 (face covering requirement in public spaces) given that the county has 20 or less active COVID-19 cases and the county judge has submitted an exemption.    Source information: https://tdem.texas.gov/ga29/, and ","sip_submission_form: https://tdem.texas.gov/ga29/, and ",
RI,,,state,2020-03-09,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
SD,,,state,2020-03-23,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MS,Washington,28151,county,2020-07-13,Outdoor and Recreation,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
Gatherings limited to 10 indoors (with social distancing of 6 feet, or with face coverings required when 6 feet is not possible) and 20 outdoors (with social distancing 6 feet, or with face coverings required when 6 ft is not possible).  
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
MS,Jackson,28059,county,2020-07-13,Childcare (K-12),start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
IL,,,state,2020-05-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Lawrence County,42073,county,2020-03-31,Shelter in Place,start,Lawrence County Policy Start,wikidata,
IN,Cass,18017,county,2020-05-18,Phase 2,start,"Policy_Details: phase 2 begins in Cass County Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",sip_submission_form: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf,5
KY,,,state,2020-03-25,Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",BU COVID-19 State Policy Database,
NJ,,,state,2020-03-21,Shelter in Place,start,State Policy Start,wikidata,
PA,Mifflin,42087,county,2020-06-12,Phase 2,start,"Policy_Details: Mifflin County moves to green phase Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-12/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-12/,
ME,,,state,2020-03-20,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
CA,Yuba County,06115,county,2020-03-18,Shelter in Place,start,Yuba County Policy Start,wikidata,
CA,Merced County,06047,county,2020-03-20,Shelter in Place,start,Merced County Policy Start,wikidata,
IL,,,state,2020-03-23,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
WA,,,state,2020-03-16,Food and Drink,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
WY,,,state,2020-03-19,Childcare (K-12),start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
MN,,,state,2020-06-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",BU COVID-19 State Policy Database,
PA,Northampton County,42095,county,2020-03-25,Shelter in Place,start,Northampton County Policy Start,wikidata,
MD,,,state,2020-03-30,Day Care,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",BU COVID-19 State Policy Database,
ME,Oxford,23017,county,2020-05-11,Non-Essential Businesses,start,"Policy_Details: Rural Reopening : all retail businesses open  Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",sip_submission_form: https://www.maine.gov/covid19/restartingmaine,3
MS,Wayne,28153,county,2020-07-13,Entertainment,start,"Policy_Details: Executive Order by Governor Tate Reeves signed on 7/10, but only applying to Claiborne, Desoto, Grenada, Harrison, Hinds, Jackson, Jefferson, Madison, Quitman, Rnakin, Sunflower, Washington, and Wayne Counties. Amends Safe Return EO 1492/1496/1500/1505 for these counties. 
All businesses should be following relevant guidelines in these counties such as employee screening/reporting daily, social distancing, cleaning, and face coverings when 6 ft not possible.
Face Coverings required both indoors and outdoors when 6 ft distance not possible when attending public events such as outdoor sports complexes and arenas   Source information: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf",sip_submission_form: https://www.sos.ms.gov/content/executiveorders/ExecutiveOrders/1507.pdf,
PA,Carbon,42025,county,2020-06-12,Phase 2,start,"Policy_Details: Carbon County moves to green phase  Phase Level: 2, Phase Details Source information: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-12/",sip_submission_form: https://www.governor.pa.gov/newsroom/reopening-phase-orders-updated-to-include-12-additional-counties-moving-to-green-on-june-12/,
CA,,,state,2020-04-22,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",BU COVID-19 State Policy Database,
