Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,State,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
 National,May 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,5/1/2016,5/31/2016,U.S.,1400,Value,2518931,0.023597814,-0.053590200,0.983696350,0.2%,0.3%,591629,12.3%,8.4%,1831656,2.1%,-9.0%,42,-6,-6,142,0.000401525,0.060913709,272247,-0.006817858,0.062469322,134,0.021106302,0.061217018,$252K,2.8%,5.5%,3.095950014,-0.308630586,-0.590745866,758596,-2.1%,-2.4%,1,0.400437693,-0.024724308,0.019789563,,527175,5.3%,9.3%,30,0.124731635,0.008574547,0.005999978,-1,11,0.257883790,0.014634712,0.026141608
 National,June 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,6/1/2016,6/30/2016,U.S.,1400,Value,2555996,0.014714505,-0.063692058,0.984441554,0.1%,0.3%,661162,11.8%,4.3%,1871580,2.2%,-8.6%,41,-2,-4,141,-0.005911065,0.064982487,268326,-0.014403746,0.073166819,137,0.016750933,0.062087277,$259K,2.8%,5.7%,2.830740927,-0.265209086,-0.400180112,757026,-0.2%,0.2%,1,0.365328408,-0.035109285,0.027982972,,516384,-2.0%,2.3%,30,0.138364961,0.013633326,0.008749431,-1,11,0.256525577,-0.001358213,0.018918136
 National,December 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,12/1/2016,12/31/2016,U.S.,1400,Value,1928315,-0.111009656,-0.091644361,0.976758494,-0.1%,0.3%,497955,4.6%,1.8%,1426958,-11.5%,-11.7%,55,4,-5,134,-0.032908010,0.062682704,244963,-0.036993675,0.068688236,136,-0.013506969,0.064004499,$254K,-0.2%,6.7%,2.865631469,-0.520028680,-0.438267198,331748,-25.1%,-1.7%,1,0.284526484,-0.018246781,0.028524515,,294614,-17.1%,6.1%,30,0.081448806,-0.064153520,-0.011255059,-1,11,0.201949882,-0.007698071,0.010509926
 National,June 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,6/1/2018,6/30/2018,U.S.,1400,Value,2333082,0.022085393,-0.029837509,0.989651852,0.0%,0.2%,670694,5.8%,-3.2%,1645582,4.8%,-3.5%,31,-1,-4,158,-0.009874652,0.064697794,299683,-0.025381263,0.059900161,155,0.013728096,0.058851269,$292K,1.9%,5.5%,2.453549201,-0.024003968,-0.006188754,783168,-6.7%,-0.2%,1,0.412609298,-0.041091000,0.019412660,,561032,-4.6%,1.2%,30,0.152111014,0.010947632,0.020127965,-1,11,0.296610299,0.002018939,0.012294075
 National,January 2020,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,1/1/2020,1/31/2020,U.S.,1400,Value,1770584,0.000479574,-0.079439082,0.977369842,-0.2%,0.2%,377964,-26.2%,12.5%,1250798,-0.8%,-12.0%,56,6,-1,167,0.068839820,0.039927835,311247,0.098624942,0.041495950,157,-0.008876643,0.054967894,$289K,-2.1%,6.2%,3.309304996,0.847506763,-0.919625675,525964,64.1%,-1.3%,1,0.390595334,0.122618407,0.025715220,,330190,3.4%,7.4%,30,0.130090800,0.029000787,-0.010227604,-1,11,0.189041115,-0.010509750,0.010321854
 National,August 2020,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,8/1/2020,8/31/2020,U.S.,1400,Value,1842036,-0.053573432,-0.210145376,0.992518487,0.2%,0.8%,652878,-6.8%,4.0%,1066903,-8.4%,-35.7%,31,-4,-8,182,0.016427676,0.139769730,337106,0.003681332,0.143068125,171,0.023282699,0.086182185,$328K,1.7%,11.0%,1.634154794,-0.028902463,-1.009947325,691785,-6.9%,2.9%,1,0.492372958,0.018208679,0.140462437,,638561,2.9%,26.8%,30,0.132230967,0.005435403,-0.040235693,-1,11,0.320021881,0.021344565,0.081838996
 National,February 2013,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2013,2/28/2013,U.S.,1400,Value,2146657,0.014768347,-0.146914654,0.970179027,0.2%,1.2%,322111,3.4%,5.7%,1715241,2.1%,-17.5%,79,0,-18,113,0.041046395,0.075786673,210169,0.059868891,0.092109872,100,-0.000402268,0.108613668,$181K,0.7%,13.1%,5.324990198,-0.069879450,-1.497042414,504844,3.5%,-1.9%,1,0.394933337,0.059973132,0.070720595,,251014,9.3%,15.2%,30,0.045677907,-0.014725894,-0.013742013,-1,11,0.215665220,0.008282433,0.039996747
 National,February 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2014,2/28/2014,U.S.,1400,Value,2174927,0.014710966,0.013169462,0.970158912,0.2%,0.0%,310918,2.5%,-3.5%,1748964,2.1%,2.0%,78,3,-1,123,0.020583375,0.086566068,230745,0.041546542,0.097904696,111,-0.002544027,0.110706163,$201K,0.4%,11.0%,5.625147597,-0.022455191,0.300157399,490954,3.4%,-2.8%,1,0.369637870,0.061242386,-0.025295467,,236787,6.1%,-5.7%,30,0.059428002,-0.004320403,0.013750095,-1,11,0.191038539,0.007538352,-0.024626681
 National,August 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,8/1/2014,8/31/2014,U.S.,1400,Value,2672683,-0.000149163,0.045733375,0.974964574,-0.2%,-0.3%,514686,-3.7%,-4.2%,2104706,-0.5%,6.1%,51,5,-3,124,-0.010120192,0.051588156,229317,-0.021558570,0.062299433,121,-0.005960547,0.037110870,$226K,-1.0%,4.3%,4.089295889,0.133639955,0.396666482,599027,-10.9%,-2.0%,1,0.280561072,-0.029742450,-0.008624131,,376673,-3.6%,-0.5%,30,0.095946737,0.000480430,0.028485186,-1,11,0.190847005,-0.016276676,-0.041174180
 National,September 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,9/1/2014,9/30/2014,U.S.,1400,Value,2643764,-0.010820228,0.057865082,0.972752247,-0.2%,-0.3%,469975,-8.7%,4.9%,2090802,-0.7%,5.0%,56,6,-1,126,0.017021974,0.045658423,232538,0.014045057,0.062568660,120,-0.013333331,0.041497385,$220K,-2.9%,4.8%,4.448745542,0.359449654,0.006140905,576155,-3.8%,4.9%,1,0.276307099,-0.004253973,3.241435473e-05,,342286,-9.1%,6.8%,30,0.105569939,0.009623203,0.033076874,-1,11,0.183677730,-0.007169275,-0.034825874
 National,November 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,11/1/2016,11/30/2016,U.S.,1400,Value,2169107,-0.074756927,-0.072718819,0.978084691,-0.1%,0.4%,476043,-5.3%,20.8%,1611721,-7.7%,-10.6%,51,1,-6,138,-0.017272238,0.071385917,254373,-0.024153130,0.069231123,138,0.010326589,0.082664206,$254K,1.3%,8.6%,3.385660149,-0.088650787,-1.191564858,443114,-17.9%,2.5%,1,0.302773265,-0.015912845,0.017777299,,355192,-10.6%,10.4%,30,0.145602326,0.014216620,0.029995258,-1,11,0.209647952,-0.006522460,0.013869228
 National,March 2017,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,3/1/2017,3/31/2017,U.S.,1400,Value,2185105,0.113299607,-0.074462079,0.981376858,0.4%,0.3%,534054,44.6%,9.7%,1522912,5.3%,-11.4%,50,-10,-10,149,0.022325887,0.060623529,288415,0.039154138,0.069937201,138,0.035148355,0.076001484,$257K,4.1%,7.5%,2.851604834,-1.064111167,-0.680801309,766773,34.6%,1.8%,1,0.464497856,0.003115633,0.022118803,,481786,39.7%,8.8%,30,0.109719025,0.007152486,-0.004736345,-1,11,0.236347733,0.027384180,0.013506986
 National,April 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,4/1/2018,4/30/2018,U.S.,1400,Value,2140965,0.050624920,-0.036814161,0.987906260,0.3%,0.3%,544884,4.6%,5.4%,1465347,5.7%,-7.6%,36,-9,-5,159,0.014033838,0.069183060,306545,0.009750520,0.067536380,152,0.018777332,0.074540707,$281K,1.5%,7.0%,2.689279531,0.028007412,-0.378792884,777075,5.9%,6.8%,1,0.470762522,-0.015401390,0.021063979,,544419,11.0%,9.2%,30,0.122957496,0.006375005,0.015438705,-1,11,0.282353357,0.026313653,0.017279548
 National,July 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,7/1/2018,7/31/2018,U.S.,1400,Value,2345979,0.005528145,-0.009641092,0.987699017,-0.2%,0.1%,623847,-7.0%,5.3%,1668224,1.4%,-2.8%,32,1,-4,156,-0.009021693,0.059033031,290956,-0.029120275,0.054855517,154,-0.008662730,0.054193984,$287K,-1.8%,5.0%,2.674092954,0.220543753,-0.223577512,719998,-8.1%,4.6%,1,0.373893948,-0.038715351,0.005624504,,541822,-3.4%,6.6%,30,0.162492409,0.010381395,0.025038937,-1,11,0.278971468,-0.017638831,0.005405175
 National,November 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,11/1/2018,11/30/2018,U.S.,1400,Value,2130230,-0.073200882,0.039097246,0.979088012,-0.2%,-0.2%,479668,-9.3%,-3.2%,1577743,-6.1%,6.7%,46,3,0,155,-0.020302458,0.042693001,282367,-0.023668924,0.030699891,151,-0.005944024,0.034479791,$279K,0.7%,3.3%,3.289235410,0.112480483,0.303415745,464934,-23.2%,1.1%,1,0.287473778,-0.027356523,-0.036888512,,367287,-16.1%,-4.2%,30,0.149082933,-0.036106772,0.032248821,-1,11,0.204935540,-0.016410922,-0.019890997
 National,April 2019,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,4/1/2019,4/30/2019,U.S.,1400,Value,2255844,0.059430189,0.053657761,0.983774177,0.3%,-0.4%,550804,12.2%,1.1%,1563284,4.6%,6.7%,41,-8,5,164,0.005663716,0.032950313,317121,0.006991797,0.034499026,156,0.023021099,0.030498594,$290K,2.3%,3.1%,2.838185443,-0.207109067,0.148905912,782127,9.9%,0.7%,1,0.448222121,-0.005269027,-0.022540401,,539103,17.7%,-1.0%,30,0.140213699,0.008135389,0.017256203,-1,11,0.240235176,0.026228500,-0.042118181
 National,November 2019,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,11/1/2019,11/30/2019,U.S.,1400,Value,2022173,-0.096065610,-0.050725407,0.980852252,-0.1%,0.2%,480575,-11.6%,0.2%,1459546,-8.7%,-7.5%,45,2,-1,160,-0.014345041,0.033409460,291038,-0.025909796,0.030708615,158,-0.003107020,0.045025214,$294K,0.2%,5.4%,3.037081597,0.097903511,-0.252153813,437843,-27.6%,-5.8%,1,0.305574531,-0.026004031,0.018100753,,380769,-16.0%,3.7%,30,0.138316321,-0.039669826,-0.010766612,-1,11,0.213228850,-0.007343929,0.008293310
 National,February 2012,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2012,2/29/2012,U.S.,1400,Value,2516345,0.016724617,-0.127623180,0.958259685,0.2%,0.3%,304737,10.5%,15.4%,2078931,1.1%,-16.1%,97,1,-10,105,0.030999088,-0.002075474,192443,0.047367355,0.021237217,90,-0.001364246,-0.014593914,$160K,0.7%,-1.9%,6.822032612,-0.628267363,-2.564297085,514822,7.7%,6.2%,1,0.324212742,0.056957055,0.065284016,,217907,15.2%,25.7%,30,0.059419921,-0.006869865,-0.009067506,-1,11,0.175668472,0.004289748,0.004050572
 National,October 2013,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,10/1/2013,10/31/2013,U.S.,1400,Value,2497254,-0.000758733,0.019064947,0.974027829,-0.2%,0.4%,447647,-0.1%,5.8%,1963663,-1.3%,1.4%,60,2,-13,118,-0.019762216,0.114888983,214413,-0.020250696,0.121479076,115,0.002302156,0.126691802,$210K,0.0%,13.5%,4.386624880,-0.055979758,-0.189616492,540417,-1.6%,11.3%,1,0.270166797,-0.006107888,-0.026437629,,323565,1.0%,12.8%,30,0.080049325,0.007556260,0.021038780,-1,11,0.209948636,-0.008554968,0.003707581
 National,January 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,1/1/2014,1/31/2014,U.S.,1400,Value,2143396,-0.002937289,0.013226755,0.968354659,-0.2%,0.0%,303454,-25.7%,-2.6%,1713791,0.9%,2.0%,75,7,-4,121,0.095667326,0.108352062,221541,0.124609539,0.117218468,111,-0.028832439,0.113091095,$200K,-5.3%,11.3%,5.647602789,1.492650782,0.252733141,474761,55.2%,-2.7%,1,0.308395485,0.086112246,-0.026564720,,223202,-2.7%,-2.8%,30,0.063748405,-0.033061309,0.003344604,-1,11,0.183500187,-0.007272034,-0.023882600
 National,December 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,12/1/2014,12/31/2014,U.S.,1400,Value,2214626,-0.077665170,0.030197687,0.969747290,-0.1%,-0.1%,445766,17.7%,9.1%,1734475,-9.0%,2.1%,67,4,-1,117,-0.034431765,0.059197397,211280,-0.042301010,0.072521929,119,-0.007411750,0.039265171,$222K,1.1%,5.1%,3.890995451,-1.142358992,-0.263956556,328079,-17.6%,7.2%,1,0.229910389,-0.028852309,0.007627151,,244370,-12.5%,6.6%,30,0.074265113,-0.015077615,-0.022544601,-1,11,0.169128544,-0.006221499,-0.021643677
 National,March 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,3/1/2016,3/31/2016,U.S.,1400,Value,2360903,0.090810182,-0.023945072,0.978374441,0.5%,0.4%,486821,33.1%,6.0%,1719652,4.9%,-5.0%,60,-9,-7,140,0.017260828,0.063284209,269563,0.025880041,0.068609675,129,0.038473339,0.063279018,$239K,5.1%,6.1%,3.532406143,-0.949652751,-0.409952159,753448,28.9%,7.1%,1,0.442379053,0.018161989,0.032234012,,442842,36.6%,12.0%,30,0.114455370,-0.023793149,0.015390287,-1,11,0.222840747,0.026770681,0.022845845
 National,July 2017,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,7/1/2017,7/31/2017,U.S.,1400,Value,2368817,-0.014977619,-0.060849300,0.986789907,-0.1%,0.3%,592302,-14.5%,1.3%,1716298,0.7%,-9.2%,36,1,-5,148,-0.003720955,0.052367887,275825,-0.024477230,0.045861932,146,-0.004283137,0.067040814,$273K,-1.4%,6.4%,2.897670466,0.437932511,-0.335106801,688399,-12.3%,0.9%,1,0.368269444,-0.024927195,0.027072958,,508426,-8.3%,8.1%,30,0.137453472,0.005470424,-0.000612043,-1,11,0.273566292,-0.010749931,0.020348541
 National,February 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2018,2/28/2018,U.S.,1400,Value,1835259,0.025432063,-0.064945134,0.981154860,0.3%,0.4%,377871,3.1%,2.3%,1327008,3.2%,-8.2%,54,0,-6,158,0.027772305,0.085402243,298085,0.038424763,0.073994377,145,0.007261048,0.081466647,$268K,1.5%,8.3%,3.511798127,0.001119886,-0.403917874,567757,12.0%,-0.3%,1,0.480062808,0.081855918,0.018680585,,351494,9.2%,2.0%,30,0.104472676,-0.003792707,0.001906137,-1,11,0.226749812,0.017785733,0.017786259
 National,August 2018,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,8/1/2018,8/31/2018,U.S.,1400,Value,2358030,0.005136942,-0.006405595,0.984742854,-0.3%,0.0%,640299,2.6%,1.8%,1691330,1.4%,-0.3%,36,4,-3,156,-0.004603818,0.055858111,286599,-0.014975114,0.050315598,153,-0.002505648,0.047988795,$284K,-0.9%,5.1%,2.641468379,-0.032624575,-0.055439684,710128,-1.4%,4.4%,1,0.356771269,-0.017122679,0.001774529,,512974,-5.3%,0.4%,30,0.172185038,0.009692630,0.027711437,-1,11,0.254003031,-0.024968437,-0.002960010
 National,February 2020,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2020,2/29/2020,U.S.,1400,Value,1814931,0.025047027,-0.069119193,0.980940414,0.4%,0.3%,405992,7.4%,8.3%,1265253,1.2%,-12.1%,55,-1,-4,172,0.031975705,0.060252870,325122,0.044580459,0.050597328,158,0.009381630,0.060807720,$294K,1.6%,6.7%,3.116447380,-0.192857616,-0.723073806,579815,10.2%,6.3%,1,0.469829211,0.079233878,0.046572103,,377966,14.5%,13.1%,30,0.113398439,-0.016692361,-0.010443904,-1,11,0.216947443,0.027906328,0.023526798
 National,January 2015,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,1/1/2015,1/31/2015,U.S.,1400,Value,2217579,0.001333555,0.034610462,0.967597233,-0.2%,-0.1%,309723,-30.5%,2.1%,1738614,0.2%,1.4%,76,8,0,125,0.073456877,0.037726236,232029,0.098205760,0.047341072,117,-0.019559201,0.049188641,$213K,-4.1%,6.5%,5.613437120,1.722441670,-0.034165669,512507,56.2%,8.0%,1,0.320408206,0.090497817,0.012012722,,249688,2.2%,11.9%,30,0.094393953,0.020128840,0.030645548,-1,11,0.165891630,-0.003236914,-0.017608557
 National,February 2015,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,2/1/2015,2/28/2015,U.S.,1400,Value,2235995,0.008304479,0.028078337,0.970393584,0.3%,0.0%,336264,8.6%,8.2%,1751581,0.7%,0.1%,76,0,-2,130,0.041457177,0.058950659,246883,0.064020162,0.069939722,116,-0.001428137,0.050362406,$215K,0.8%,6.8%,5.208933200,-0.404503920,-0.416214397,525104,2.5%,7.0%,1,0.397729857,0.077321650,0.028091986,,280114,12.2%,18.3%,30,0.084620546,-0.009773407,0.025192544,-1,11,0.180259745,0.014368115,-0.010778794
 National,April 2016,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,4/1/2016,4/30/2016,U.S.,1400,Value,2460860,0.042338431,-0.040209552,0.981542061,0.3%,0.3%,526883,8.2%,6.0%,1793818,4.3%,-6.8%,49,-11,-6,141,0.009256602,0.064974972,274116,0.016891210,0.074029833,132,0.024052211,0.057855229,$245K,2.5%,6.0%,3.404580599,-0.127825544,-0.470311352,775181,2.9%,-2.3%,1,0.425162001,-0.017217052,0.017425120,,500520,13.0%,9.4%,30,0.116157088,0.001701718,0.007235264,-1,11,0.243249077,0.020408331,0.019506024
 National,July 2020,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,7/1/2020,7/31/2020,U.S.,1400,Value,1946306,-0.015641794,-0.183041733,0.990378755,0.3%,0.5%,700733,19.2%,10.1%,1165359,-4.5%,-30.7%,35,-4,-1,179,0.016139324,0.119650596,335870,0.002593924,0.121283934,167,0.029928924,0.057576887,$323K,4.2%,8.0%,1.663057257,-0.412827346,-0.978855363,743193,5.3%,5.3%,1,0.474164278,0.005275571,0.117170910,,620510,6.2%,14.4%,30,0.126795564,0.000246636,-0.042433979,-1,11,0.298677316,0.030678107,0.045413025
 National,November 2012,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,11/1/2012,11/30/2012,U.S.,1400,Value,2284637,-0.067698708,-0.144342144,0.969416920,0.0%,1.1%,398471,-5.8%,21.0%,1823542,-5.8%,-17.9%,73,0,-19,104,-0.018376628,0.073516343,186826,-0.022813977,0.089310069,104,0.015703070,0.095617329,$189K,2.4%,11.3%,4.576347004,0.000105632,-2.165132775,385093,-20.7%,-2.4%,1,0.269077592,-0.027526834,0.041679639,,244892,-14.6%,22.4%,30,0.048889115,-0.010121430,-0.016444152,-1,11,0.202431707,-0.003809349,0.034397428
 National,June 2014,All Residential,National,False,US,National,9/13/2020 2:44:56 PM,,,6/1/2014,6/30/2014,U.S.,1400,Value,2622420,0.012335516,0.041219039,0.977743972,0.1%,-0.3%,542753,6.9%,3.1%,2040323,3.9%,4.5%,48,-4,-4,125,-0.014869079,0.047961597,237793,-0.028830018,0.052800138,121,0.018343588,0.055658423,$229K,3.4%,4.8%,3.759206913,-0.109762942,0.050413495,698591,-5.8%,7.7%,1,0.332575310,-0.016270246,-0.005441551,,417504,-7.6%,5.5%,30,0.096498254,-0.003021602,0.040546571,-1,11,0.214288499,-0.001581042,-0.034363038
